;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
88140;2;2;11;3;2021-05-11T13:15:51.293Z;2021-05-11T13:15:46.542Z;2021-05-11T13:15:51.787Z;0.49400000000000005;9; widening;8
89220;2;2;12;2;2021-05-11T13:16:55.881Z;2021-05-11T13:16:44.973Z;2021-05-11T13:16:56.515Z;0.634;12; widening;1
89436;2;2;12;3;2021-05-11T13:17:06.146Z;2021-05-11T13:16:57.993Z;2021-05-11T13:17:06.208Z;0.062000000000000006;12; widening;11
90912;2;2;14;0;2021-05-11T13:18:30.443Z;2021-05-11T13:18:21.370Z;2021-05-11T13:18:30.759Z;0.316;21; widening;1
95202;2;2;16;2;2021-05-11T13:22:07.359Z;2021-05-11T13:22:02.073Z;2021-05-11T13:22:07.382Z;0.023000000000000003;15; widening;1
95368;2;2;16;3;2021-05-11T13:22:15.337Z;2021-05-11T13:22:09.166Z;2021-05-11T13:22:15.381Z;0.044000000000000004;15; widening;11
96166;2;2;16;4;2021-05-11T13:22:47.250Z;2021-05-11T13:22:18.382Z;2021-05-11T13:22:48.271Z;1.0210000000000001;15; widening;4
96728;2;2;17;1;2021-05-11T13:23:13.632Z;2021-05-11T13:23:02.405Z;2021-05-11T13:23:14.289Z;0.657;15; widening;1
97118;2;2;17;3;2021-05-11T13:23:30.884Z;2021-05-11T13:23:23.591Z;2021-05-11T13:23:32.283Z;1.399;15; widening;11
97313;2;2;17;4;2021-05-11T13:23:42.488Z;2021-05-11T13:23:35.164Z;2021-05-11T13:23:42.596Z;0.10800000000000001;15; widening;14
97827;2;2;18;2;2021-05-11T13:24:13.548Z;2021-05-11T13:24:08.504Z;2021-05-11T13:24:13.567Z;0.019;6; widening;5
100611;2;3;2;4;2021-05-11T13:30:15.890Z;2021-05-11T13:30:02.616Z;2021-05-11T13:30:16.060Z;0.17;15; densening;11
102662;2;3;4;4;2021-05-11T13:32:04.246Z;2021-05-11T13:32:01.634Z;2021-05-11T13:32:05.364Z;1.118;6; densening;1
107963;2;3;9;4;2021-05-11T13:36:22.099Z;2021-05-11T13:36:13.477Z;2021-05-11T13:36:22.182Z;0.083;21; densening;11
112576;2;3;13;2;2021-05-11T13:40:56.430Z;2021-05-11T13:40:47.859Z;2021-05-11T13:40:56.709Z;0.279;18; densening;5
113304;2;3;13;4;2021-05-11T13:41:50.624Z;2021-05-11T13:41:42.614Z;2021-05-11T13:41:51.542Z;0.918;18; densening;17
115873;2;3;14;4;2021-05-11T13:43:54.925Z;2021-05-11T13:43:42.451Z;2021-05-11T13:43:55.941Z;1.016;21; densening;20
119972;2;3;18;1;2021-05-11T13:47:49.096Z;2021-05-11T13:47:40.428Z;2021-05-11T13:47:49.116Z;0.02;15; densening;4
122615;3;1;1;0;2021-05-11T14:34:49.147Z;2021-05-11T14:34:20.508Z;2021-05-11T14:34:49.258Z;0.111;6; direct;5
122777;3;1;1;1;2021-05-11T14:34:59.148Z;2021-05-11T14:34:54.693Z;2021-05-11T14:35:00.569Z;1.421;6; direct;4
123065;3;1;1;3;2021-05-11T14:35:19.598Z;2021-05-11T14:35:15.753Z;2021-05-11T14:35:20.660Z;1.062;6; direct;3
123475;3;1;2;0;2021-05-11T14:35:48.553Z;2021-05-11T14:35:41.988Z;2021-05-11T14:35:48.740Z;0.187;15; direct;11
123561;3;1;2;1;2021-05-11T14:35:55.810Z;2021-05-11T14:35:53.144Z;2021-05-11T14:35:56.177Z;0.36700000000000005;15; direct;4
124079;3;1;2;3;2021-05-11T14:36:22.831Z;2021-05-11T14:36:13.739Z;2021-05-11T14:36:23.507Z;0.676;15; direct;14
124231;3;1;2;4;2021-05-11T14:36:38.169Z;2021-05-11T14:36:32.594Z;2021-05-11T14:36:38.322Z;0.153;15; direct;1
125053;3;1;3;2;2021-05-11T14:37:27.364Z;2021-05-11T14:37:18.444Z;2021-05-11T14:37:27.885Z;0.521;15; direct;1
125243;3;1;3;3;2021-05-11T14:37:37.082Z;2021-05-11T14:37:30.085Z;2021-05-11T14:37:37.096Z;0.014;15; direct;14
125593;3;1;4;0;2021-05-11T14:38:04.114Z;2021-05-11T14:37:58.951Z;2021-05-11T14:38:04.123Z;0.009000000000000001;6; direct;5
125875;3;1;4;3;2021-05-11T14:38:30.004Z;2021-05-11T14:38:28.298Z;2021-05-11T14:38:30.602Z;0.5980000000000001;6; direct;3
125970;3;1;4;4;2021-05-11T14:38:37.476Z;2021-05-11T14:38:34.387Z;2021-05-11T14:38:37.851Z;0.375;6; direct;2
126098;3;1;5;0;2021-05-11T14:38:53.056Z;2021-05-11T14:38:48.440Z;2021-05-11T14:38:53.285Z;0.229;9; direct;2
126265;3;1;5;1;2021-05-11T14:39:00.913Z;2021-05-11T14:38:54.759Z;2021-05-11T14:39:00.967Z;0.054000000000000006;9; direct;7
126399;3;1;5;2;2021-05-11T14:39:08.341Z;2021-05-11T14:39:03.465Z;2021-05-11T14:39:08.483Z;0.14200000000000002;9; direct;8
126640;3;1;5;4;2021-05-11T14:39:25.760Z;2021-05-11T14:39:22.743Z;2021-05-11T14:39:26.343Z;0.5830000000000001;9; direct;5
126783;3;1;6;0;2021-05-11T14:39:42.034Z;2021-05-11T14:39:36.722Z;2021-05-11T14:39:42.086Z;0.052000000000000005;15; direct;14
126919;3;1;6;1;2021-05-11T14:39:47.273Z;2021-05-11T14:39:43.186Z;2021-05-11T14:39:48.263Z;0.9900000000000001;15; direct;8
128000;3;1;6;4;2021-05-11T14:40:36.771Z;2021-05-11T14:40:20.911Z;2021-05-11T14:40:36.798Z;0.027000000000000003;15; direct;11
128296;3;1;7;2;2021-05-11T14:41:03.336Z;2021-05-11T14:41:01.896Z;2021-05-11T14:41:03.435Z;0.099;6; direct;4
128388;3;1;7;3;2021-05-11T14:41:09.040Z;2021-05-11T14:41:05.970Z;2021-05-11T14:41:09.252Z;0.21200000000000002;6; direct;3
128524;3;1;7;4;2021-05-11T14:41:14.897Z;2021-05-11T14:41:11.289Z;2021-05-11T14:41:16.289Z;1.3920000000000001;6; direct;5
128767;3;1;8;0;2021-05-11T14:41:33.760Z;2021-05-11T14:41:24.923Z;2021-05-11T14:41:33.828Z;0.068;21; direct;11
129058;3;1;8;1;2021-05-11T14:41:47.674Z;2021-05-11T14:41:37.223Z;2021-05-11T14:41:47.942Z;0.268;21; direct;20
129846;3;1;8;4;2021-05-11T14:42:32.319Z;2021-05-11T14:42:27.979Z;2021-05-11T14:42:32.417Z;0.098;21; direct;1
130046;3;1;9;0;2021-05-11T14:42:47.482Z;2021-05-11T14:42:40.581Z;2021-05-11T14:42:47.947Z;0.465;9; direct;7
130724;3;1;9;3;2021-05-11T14:43:23.648Z;2021-05-11T14:43:21.394Z;2021-05-11T14:43:24.761Z;1.113;9; direct;8
130820;3;1;9;4;2021-05-11T14:43:34.551Z;2021-05-11T14:43:31.442Z;2021-05-11T14:43:34.890Z;0.339;9; direct;5
132357;3;1;10;1;2021-05-11T14:44:45.679Z;2021-05-11T14:44:07.639Z;2021-05-11T14:44:46.092Z;0.41300000000000003;18; direct;17
132635;3;1;10;2;2021-05-11T14:44:59.220Z;2021-05-11T14:44:48.918Z;2021-05-11T14:44:59.327Z;0.10700000000000001;18; direct;9
132916;3;1;10;3;2021-05-11T14:45:13.016Z;2021-05-11T14:45:02.600Z;2021-05-11T14:45:13.120Z;0.10400000000000001;18; direct;5
133317;3;1;11;0;2021-05-11T14:45:35.549Z;2021-05-11T14:45:29.367Z;2021-05-11T14:45:36.200Z;0.651;12; direct;3
133470;3;1;11;1;2021-05-11T14:45:46.251Z;2021-05-11T14:45:40.648Z;2021-05-11T14:45:46.373Z;0.12200000000000001;12; direct;11
133811;3;1;11;3;2021-05-11T14:46:05.875Z;2021-05-11T14:46:01.028Z;2021-05-11T14:46:06.546Z;0.671;12; direct;6
134007;3;1;11;4;2021-05-11T14:46:19.368Z;2021-05-11T14:46:12.915Z;2021-05-11T14:46:19.941Z;0.5730000000000001;12; direct;9
134281;3;1;12;0;2021-05-11T14:46:35.825Z;2021-05-11T14:46:26.617Z;2021-05-11T14:46:36.945Z;1.12;12; direct;9
134467;3;1;12;1;2021-05-11T14:46:47.312Z;2021-05-11T14:46:40.647Z;2021-05-11T14:46:47.647Z;0.335;12; direct;6
134806;3;1;12;3;2021-05-11T14:47:13.203Z;2021-05-11T14:47:08.043Z;2021-05-11T14:47:13.434Z;0.231;12; direct;11
135468;3;1;13;0;2021-05-11T14:47:51.415Z;2021-05-11T14:47:38.667Z;2021-05-11T14:47:51.575Z;0.16;21; direct;16
136666;3;1;13;2;2021-05-11T14:48:47.449Z;2021-05-11T14:48:11.359Z;2021-05-11T14:48:47.909Z;0.46;21; direct;20
