;Proband__;Trial__;Duration_ densening_6;Duration_ densening_9;Duration_ densening_12;Duration_ densening_15;Duration_ densening_18;Duration_ densening_21;Duration_ direct_6;Duration_ direct_9;Duration_ direct_12;Duration_ direct_15;Duration_ direct_18;Duration_ direct_21;Duration_ widening_6;Duration_ widening_9;Duration_ widening_12;Duration_ widening_15;Duration_ widening_18;Duration_ widening_21
50;11;0;7.61;5.192666666666667;6.615666666666667;8.68;89.79466666666667;7.691666666666667;4.734666666666667;6.77;5.983666666666667;10.204333333333333;7.661666666666666;9.792666666666667;5.597;6.474333333333333;7.039333333333334;7.383333333333334;11.200000000000001;10.120333333333333
51;11;1;8.025333333333334;5.703333333333333;5.560333333333333;6.569;8.940333333333333;12.343666666666666;4.5536666666666665;5.0183333333333335;7.579;8.863;8.923333333333334;8.495333333333333;4.9223333333333334;6.09;8.119666666666665;7.910333333333334;9.371333333333334;8.341333333333333
52;11;2;5.963;5.3693333333333335;8.054;7.375;7.32;6.346;5.900666666666666;5.689666666666667;7.337;11.357333333333335;11.311;9.406666666666666;5.344666666666666;5.583666666666666;8.526333333333332;5.9303333333333335;8.314333333333334;8.384333333333332
53;11;3;6.955333333333333;6.0826666666666656;7.344333333333332;8.725666666666667;9.549666666666667;13.021;5.165666666666667;8.734;8.527666666666667;7.231000000000001;12.300666666666666;8.880333333333333;6.298666666666667;4.953333333333333;8.052999999999999;9.928666666666667;8.294333333333332;9.154666666666666
54;11;4;6.222333333333334;4.546333333333333;7.028666666666666;10.223666666666666;7.801666666666667;9.180333333333333;5.107333333333333;6.625333333333334;8.016666666666667;9.154333333333334;6.100666666666666;9.692333333333332;5.025666666666667;4.827;7.102;6.594666666666666;8.573333333333332;14.772
55;12;0;5.955333333333333;6.007000000000001;7.8309999999999995;7.245666666666668;9.317;6.848333333333334;6.3773333333333335;7.489333333333334;5.726333333333334;7.822333333333333;9.848333333333334;9.354333333333335;5.565666666666666;7.394000000000001;7.803333333333334;7.153333333333333;8.362333333333334;7.667666666666666
56;12;1;6.005333333333333;7.203666666666667;6.299666666666667;5.695666666666667;7.2379999999999995;7.467;5.853666666666666;7.178999999999999;6.958666666666667;10.544333333333332;7.590333333333334;10.212;5.649333333333334;6.185333333333333;7.411666666666666;8.362333333333334;9.483666666666666;10.590666666666666
57;12;2;4.511666666666667;6.749;8.183;9.285;8.790333333333335;10.199;7.873666666666666;9.828999999999999;7.874666666666666;7.084333333333333;8.096;10.915333333333331;4.647333333333333;8.487666666666668;6.781333333333333;6.472666666666666;7.147666666666666;7.437333333333334
58;12;3;7.024666666666666;5.550666666666667;7.574333333333333;8.059666666666667;7.471;9.541666666666666;5.830333333333333;7.860333333333333;7.970666666666666;12.082333333333333;10.433;11.481;5.678333333333334;6.161333333333334;7.150666666666667;7.521333333333334;10.894;8.063666666666668
59;12;4;6.206333333333333;7.258;8.338;8.662333333333333;8.326;7.564;6.410666666666667;6.967;7.706666666666667;9.244666666666665;7.411333333333334;7.196666666666666;5.3196666666666665;5.797999999999999;7.878;8.072333333333333;6.8709999999999996;9.052333333333333
60;13;0;5.565333333333334;8.473666666666666;45.08833333333333;8.885;16.76033333333333;11.712000000000002;108.276;11.105333333333334;8.077;7.028;8.283333333333333;8.289;7.412333333333334;10.666333333333332;12.999666666666664;11.375666666666667;7.5040000000000004;21.050666666666668
61;13;1;6.651666666666667;7.196333333333333;9.822333333333333;8.475;16.611666666666668;10.361333333333334;5.871666666666666;5.996666666666667;7.212000000000001;7.998333333333334;6.423666666666667;7.183666666666666;5.024333333333334;6.599333333333334;7.841333333333334;10.978666666666664;22.413666666666668;10.004
