;;;;;Duration;Duration;Duration;Duration;Duration;Target;Target;Target;Target;Target;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Target_Relative;Duration_Sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;
03;1;10; direct;18;18.879;38.453;10.409;10.52;7.809;14.0;17.0;9.0;5.0;1.0;0.7777777777777778;0.9444444444444444;0.5;0.2777777777777778;0.05555555555555555;86.07000000000001
03;1;11; direct;12;6.833;5.725;6.791;5.518;7.026;3.0;11.0;1.0;6.0;9.0;0.25;0.9166666666666666;0.08333333333333333;0.5;0.75;31.893
03;1;12; direct;12;10.328;7.0;6.863;5.391;11.918;9.0;6.0;1.0;11.0;3.0;0.75;0.5;0.08333333333333333;0.9166666666666666;0.25;41.5
03;1;13; direct;21;12.908;8.255;36.55;7.457;12.655;16.0;5.0;20.0;1.0;11.0;0.7619047619047619;0.23809523809523808;0.9523809523809523;0.047619047619047616;0.5238095238095238;77.82499999999999
03;1;14; direct;21;26.468;16.64;7.212;14.011;6.925;16.0;5.0;1.0;11.0;20.0;0.7619047619047619;0.23809523809523808;0.047619047619047616;0.5238095238095238;0.9523809523809523;71.256
03;1;15; direct;12;7.474;8.859;9.405;4.318;14.458;3.0;9.0;1.0;11.0;6.0;0.25;0.75;0.08333333333333333;0.9166666666666666;0.5;44.513999999999996
03;1;16; direct;9;7.222;5.817;6.181;12.96;3.079;5.0;7.0;8.0;1.0;2.0;0.5555555555555556;0.7777777777777778;0.8888888888888888;0.1111111111111111;0.2222222222222222;35.25900000000001
03;1;17; direct;18;9.82;15.007;44.45;8.184;18.98;5.0;1.0;17.0;9.0;14.0;0.2777777777777778;0.05555555555555555;0.9444444444444444;0.5;0.7777777777777778;96.441
03;1;18; direct;18;9.184;10.081;5.609;6.784;17.365;14.0;9.0;5.0;1.0;17.0;0.7777777777777778;0.5;0.2777777777777778;0.05555555555555555;0.9444444444444444;49.022999999999996
03;2;1; densening;12;9.165;6.052;7.644;4.159;6.802;6.0;11.0;1.0;3.0;9.0;0.5;0.9166666666666666;0.08333333333333333;0.25;0.75;33.821999999999996
03;2;2; densening;21;5.793;4.201;5.508;6.466;5.979;11.0;20.0;16.0;5.0;1.0;0.5238095238095238;0.9523809523809523;0.7619047619047619;0.23809523809523808;0.047619047619047616;27.947
03;2;3; densening;12;5.166;3.928;8.804;2.776;4.011;1.0;11.0;3.0;6.0;9.0;0.08333333333333333;0.9166666666666666;0.25;0.5;0.75;24.685000000000002
03;2;4; densening;18;17.872;26.498;10.316;6.471;7.585;14.0;17.0;9.0;1.0;5.0;0.7777777777777778;0.9444444444444444;0.5;0.05555555555555555;0.2777777777777778;68.742
03;2;5; densening;9;7.336;3.168;5.586;9.117;5.016;1.0;2.0;7.0;5.0;8.0;0.1111111111111111;0.2222222222222222;0.7777777777777778;0.5555555555555556;0.8888888888888888;30.223000000000006
03;2;6; densening;21;10.416;8.655;30.96;14.918;13.598;16.0;1.0;20.0;11.0;5.0;0.7619047619047619;0.047619047619047616;0.9523809523809523;0.5238095238095238;0.23809523809523808;78.547
03;2;7; densening;9;9.792;6.763;2.573;8.579;7.946;7.0;1.0;8.0;2.0;5.0;0.7777777777777778;0.1111111111111111;0.8888888888888888;0.2222222222222222;0.5555555555555556;35.653
03;2;8; densening;18;7.922;8.663;7.361;42.785;11.258;5.0;9.0;1.0;17.0;14.0;0.2777777777777778;0.5;0.05555555555555555;0.9444444444444444;0.7777777777777778;77.98899999999999
03;2;9; densening;15;5.902;7.087;10.661;7.899;8.84;1.0;8.0;14.0;11.0;4.0;0.06666666666666667;0.5333333333333333;0.9333333333333333;0.7333333333333333;0.26666666666666666;40.388999999999996
