;;;;;Result;Result;Result;Result;Result;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_between;Peaks_between;Peaks_between;Peaks_between;Peaks_between;TargetLayer;TargetLayer;TargetLayer;TargetLayer;TargetLayer;rate_before;rate_after;rate_lower;rate_deeper;rate_between;rate_sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;;;;;;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;16; widening;18; TERMINATED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;7;2;2;3;3;7;2;2;3;3;0;0;0;0;0;7;2;1;3;2;0;0;1;0;0;0;0;0;0;1;1;14;5;17;9;3.4;0.0;3.0;0.2;0.2;3.4
1;3;17; widening;15; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;4;0;2;2;0;4;0;2;2;0;0;0;0;0;0;4;0;1;2;0;0;0;1;0;0;0;0;0;0;14;11;1;4;8;1.6;0.0;1.4;0.2;0.0;1.6
1;3;18; widening;9; TERMINATED; TERMINATED; COMPLETED; TERMINATED; COMPLETED;0;1;0;1;2;0;1;0;1;2;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;8;5;2;7;0.8;0.0;0.8;0.0;0.0;0.8
2;1;1; direct;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;1;1;6;3;0;1;1;6;3;0;0;0;0;0;0;1;1;1;3;0;0;0;5;0;0;0;0;0;0;5;7;8;1;2;2.2;0.0;1.2;1.0;0.0;2.2
2;1;2; direct;6; COMPLETED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;0;1;1;1;2;0;1;1;1;2;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;2;5;1;3;4;1.0;0.0;1.0;0.0;0.0;1.0
2;1;3; direct;9; COMPLETED; COMPLETED; TERMINATED; COMPLETED; COMPLETED;0;11;1;1;2;0;11;1;1;2;0;0;0;0;0;0;3;1;1;1;0;8;0;0;1;0;0;0;0;0;5;1;8;7;2;3.0;0.0;1.2;1.8;0.0;3.0
2;1;4; direct;15; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;2;4;2;2;1;2;4;2;2;1;0;0;0;0;0;2;1;1;2;1;0;3;0;0;0;0;0;1;0;0;11;1;4;8;14;2.2;0.0;1.4;0.6;0.2;2.2
2;1;5; direct;6; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;1;0;4;1;0;1;0;4;1;0;0;0;0;0;0;1;0;1;1;0;0;0;3;0;0;0;0;0;0;3;4;5;1;2;1.2;0.0;0.6;0.6;0.0;1.2
2;1;6; direct;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;6;1;4;3;1;6;1;4;3;0;0;0;0;0;1;6;1;4;2;0;0;0;0;1;0;0;0;0;0;1;8;14;11;4;3.0;0.0;2.8;0.2;0.0;3.0
2;1;7; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;2;2;1;1;0;2;2;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;11;1;3;9;6;1.2;0.0;0.8;0.2;0.2;1.2
2;1;8; direct;15; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;1;2;3;2;1;1;2;3;2;1;0;0;0;0;0;1;2;3;1;1;0;0;0;0;0;0;0;0;1;0;1;11;8;4;14;1.8;0.0;1.6;0.0;0.2;1.8
2;1;9; direct;21; COMPLETED; FAILED; TERMINATED; COMPLETED; COMPLETED;1;2;3;2;3;1;2;3;2;3;0;0;0;0;0;1;1;2;2;3;0;1;0;0;0;0;0;1;0;0;20;1;5;16;11;2.2;0.0;1.8;0.2;0.2;2.2
