;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Result;Result_Numeric
223;0;3;9;3; widening;12;11;0.9166666666666666; COMPLETED;1
224;0;3;9;4; widening;12;6;0.5; COMPLETED;1
225;0;3;10;0; widening;6;5;0.8333333333333334; COMPLETED;1
226;0;3;10;1; widening;6;4;0.6666666666666666; COMPLETED;1
227;0;3;10;2; widening;6;1;0.16666666666666666; TERMINATED;0
228;0;3;10;3; widening;6;2;0.3333333333333333; COMPLETED;1
229;0;3;10;4; widening;6;3;0.5; COMPLETED;1
230;0;3;11;0; widening;15;8;0.5333333333333333; TERMINATED;0
231;0;3;11;1; widening;15;14;0.9333333333333333; COMPLETED;1
232;0;3;11;2; widening;15;1;0.06666666666666667; TERMINATED;0
233;0;3;11;3; widening;15;4;0.26666666666666666; COMPLETED;1
234;0;3;11;4; widening;15;11;0.7333333333333333; TERMINATED;0
235;0;3;12;0; widening;15;8;0.5333333333333333; COMPLETED;1
236;0;3;12;1; widening;15;4;0.26666666666666666; COMPLETED;1
237;0;3;12;2; widening;15;14;0.9333333333333333; COMPLETED;1
238;0;3;12;3; widening;15;11;0.7333333333333333; COMPLETED;1
239;0;3;12;4; widening;15;1;0.06666666666666667; FAILED;0
240;0;3;13;0; widening;18;5;0.2777777777777778; COMPLETED;1
241;0;3;13;1; widening;18;14;0.7777777777777778; COMPLETED;1
242;0;3;13;2; widening;18;1;0.05555555555555555; TERMINATED;0
243;0;3;13;3; widening;18;17;0.9444444444444444; COMPLETED;1
244;0;3;13;4; widening;18;9;0.5; COMPLETED;1
245;0;3;14;0; widening;18;14;0.7777777777777778; COMPLETED;1
246;0;3;14;1; widening;18;17;0.9444444444444444; COMPLETED;1
247;0;3;14;2; widening;18;5;0.2777777777777778; COMPLETED;1
248;0;3;14;3; widening;18;9;0.5; COMPLETED;1
249;0;3;14;4; widening;18;1;0.05555555555555555; TERMINATED;0
250;0;3;15;0; widening;6;1;0.16666666666666666; TERMINATED;0
251;0;3;15;1; widening;6;2;0.3333333333333333; COMPLETED;1
252;0;3;15;2; widening;6;4;0.6666666666666666; TERMINATED;0
253;0;3;15;3; widening;6;5;0.8333333333333334; COMPLETED;1
254;0;3;15;4; widening;6;3;0.5; COMPLETED;1
255;0;3;16;0; widening;18;1;0.05555555555555555; TERMINATED;0
256;0;3;16;1; widening;18;14;0.7777777777777778; COMPLETED;1
257;0;3;16;2; widening;18;5;0.2777777777777778; COMPLETED;1
258;0;3;16;3; widening;18;17;0.9444444444444444; TERMINATED;0
259;0;3;16;4; widening;18;9;0.5; COMPLETED;1
260;0;3;17;0; widening;15;14;0.9333333333333333; COMPLETED;1
261;0;3;17;1; widening;15;11;0.7333333333333333; COMPLETED;1
262;0;3;17;2; widening;15;1;0.06666666666666667; TERMINATED;0
263;0;3;17;3; widening;15;4;0.26666666666666666; COMPLETED;1
264;0;3;17;4; widening;15;8;0.5333333333333333; COMPLETED;1
265;0;3;18;0; widening;9;1;0.1111111111111111; TERMINATED;0
266;0;3;18;1; widening;9;8;0.8888888888888888; TERMINATED;0
267;0;3;18;2; widening;9;5;0.5555555555555556; COMPLETED;1
268;0;3;18;3; widening;9;2;0.2222222222222222; TERMINATED;0
269;0;3;18;4; widening;9;7;0.7777777777777778; COMPLETED;1
270;1;1;1;0; direct;9;5;0.5555555555555556; COMPLETED;1
271;1;1;1;1; direct;9;7;0.7777777777777778; COMPLETED;1
272;1;1;1;2; direct;9;8;0.8888888888888888; TERMINATED;0
273;1;1;1;3; direct;9;1;0.1111111111111111; COMPLETED;1
274;1;1;1;4; direct;9;2;0.2222222222222222; COMPLETED;1
275;1;1;2;0; direct;6;2;0.3333333333333333; COMPLETED;1
276;1;1;2;1; direct;6;5;0.8333333333333334; TERMINATED;0
277;1;1;2;2; direct;6;1;0.16666666666666666; COMPLETED;1
278;1;1;2;3; direct;6;3;0.5; COMPLETED;1
279;1;1;2;4; direct;6;4;0.6666666666666666; COMPLETED;1
280;1;1;3;0; direct;9;5;0.5555555555555556; COMPLETED;1
281;1;1;3;1; direct;9;1;0.1111111111111111; COMPLETED;1
282;1;1;3;2; direct;9;8;0.8888888888888888; TERMINATED;0
283;1;1;3;3; direct;9;7;0.7777777777777778; COMPLETED;1
284;1;1;3;4; direct;9;2;0.2222222222222222; COMPLETED;1
285;1;1;4;0; direct;15;11;0.7333333333333333; TERMINATED;0
286;1;1;4;1; direct;15;1;0.06666666666666667; COMPLETED;1
287;1;1;4;2; direct;15;4;0.26666666666666666; COMPLETED;1
288;1;1;4;3; direct;15;8;0.5333333333333333; COMPLETED;1
289;1;1;4;4; direct;15;14;0.9333333333333333; COMPLETED;1
290;1;1;5;0; direct;6;3;0.5; COMPLETED;1
291;1;1;5;1; direct;6;4;0.6666666666666666; COMPLETED;1
292;1;1;5;2; direct;6;5;0.8333333333333334; COMPLETED;1
293;1;1;5;3; direct;6;1;0.16666666666666666; COMPLETED;1
294;1;1;5;4; direct;6;2;0.3333333333333333; COMPLETED;1
295;1;1;6;0; direct;15;1;0.06666666666666667; COMPLETED;1
296;1;1;6;1; direct;15;8;0.5333333333333333; COMPLETED;1
297;1;1;6;2; direct;15;14;0.9333333333333333; COMPLETED;1
298;1;1;6;3; direct;15;11;0.7333333333333333; COMPLETED;1
299;1;1;6;4; direct;15;4;0.26666666666666666; COMPLETED;1
300;1;1;7;0; direct;12;11;0.9166666666666666; COMPLETED;1
301;1;1;7;1; direct;12;1;0.08333333333333333; COMPLETED;1
302;1;1;7;2; direct;12;3;0.25; COMPLETED;1
303;1;1;7;3; direct;12;9;0.75; COMPLETED;1
304;1;1;7;4; direct;12;6;0.5; COMPLETED;1
305;1;1;8;0; direct;15;1;0.06666666666666667; COMPLETED;1
306;1;1;8;1; direct;15;11;0.7333333333333333; COMPLETED;1
307;1;1;8;2; direct;15;8;0.5333333333333333; COMPLETED;1
308;1;1;8;3; direct;15;4;0.26666666666666666; COMPLETED;1
309;1;1;8;4; direct;15;14;0.9333333333333333; COMPLETED;1
310;1;1;9;0; direct;21;20;0.9523809523809523; COMPLETED;1
311;1;1;9;1; direct;21;1;0.047619047619047616; FAILED;0
312;1;1;9;2; direct;21;5;0.23809523809523808; TERMINATED;0
313;1;1;9;3; direct;21;16;0.7619047619047619; COMPLETED;1
314;1;1;9;4; direct;21;11;0.5238095238095238; COMPLETED;1
315;1;1;10;0; direct;21;11;0.5238095238095238; COMPLETED;1
316;1;1;10;1; direct;21;1;0.047619047619047616; TERMINATED;0
317;1;1;10;2; direct;21;16;0.7619047619047619; COMPLETED;1
318;1;1;10;3; direct;21;20;0.9523809523809523; TERMINATED;0
319;1;1;10;4; direct;21;5;0.23809523809523808; TERMINATED;0
320;1;1;11;0; direct;9;8;0.8888888888888888; COMPLETED;1
321;1;1;11;1; direct;9;1;0.1111111111111111; COMPLETED;1
322;1;1;11;2; direct;9;2;0.2222222222222222; COMPLETED;1
323;1;1;11;3; direct;9;5;0.5555555555555556; COMPLETED;1
324;1;1;11;4; direct;9;7;0.7777777777777778; COMPLETED;1
325;1;1;12;0; direct;18;9;0.5; COMPLETED;1
326;1;1;12;1; direct;18;1;0.05555555555555555; COMPLETED;1
327;1;1;12;2; direct;18;17;0.9444444444444444; COMPLETED;1
328;1;1;12;3; direct;18;14;0.7777777777777778; COMPLETED;1
329;1;1;12;4; direct;18;5;0.2777777777777778; COMPLETED;1
330;1;1;13;0; direct;12;3;0.25; COMPLETED;1
331;1;1;13;1; direct;12;11;0.9166666666666666; COMPLETED;1
332;1;1;13;2; direct;12;9;0.75; COMPLETED;1
333;1;1;13;3; direct;12;6;0.5; COMPLETED;1
334;1;1;13;4; direct;12;1;0.08333333333333333; FAILED;0
335;1;1;14;0; direct;12;6;0.5; COMPLETED;1
336;1;1;14;1; direct;12;3;0.25; COMPLETED;1
337;1;1;14;2; direct;12;11;0.9166666666666666; COMPLETED;1
338;1;1;14;3; direct;12;1;0.08333333333333333; COMPLETED;1
339;1;1;14;4; direct;12;9;0.75; COMPLETED;1
340;1;1;15;0; direct;21;5;0.23809523809523808; COMPLETED;1
341;1;1;15;1; direct;21;1;0.047619047619047616; COMPLETED;1
342;1;1;15;2; direct;21;20;0.9523809523809523; COMPLETED;1
343;1;1;15;3; direct;21;16;0.7619047619047619; COMPLETED;1
344;1;1;15;4; direct;21;11;0.5238095238095238; COMPLETED;1
345;1;1;16;0; direct;18;1;0.05555555555555555; TERMINATED;0
346;1;1;16;1; direct;18;9;0.5; COMPLETED;1
347;1;1;16;2; direct;18;5;0.2777777777777778; COMPLETED;1
348;1;1;16;3; direct;18;17;0.9444444444444444; COMPLETED;1
349;1;1;16;4; direct;18;14;0.7777777777777778; COMPLETED;1
350;1;1;17;0; direct;18;17;0.9444444444444444; TERMINATED;0
351;1;1;17;1; direct;18;5;0.2777777777777778; TERMINATED;0
352;1;1;17;2; direct;18;1;0.05555555555555555; COMPLETED;1
353;1;1;17;3; direct;18;9;0.5; COMPLETED;1
354;1;1;17;4; direct;18;14;0.7777777777777778; COMPLETED;1
355;1;1;18;0; direct;6;3;0.5; COMPLETED;1
356;1;1;18;1; direct;6;2;0.3333333333333333; COMPLETED;1
357;1;1;18;2; direct;6;1;0.16666666666666666; COMPLETED;1
358;1;1;18;3; direct;6;5;0.8333333333333334; TERMINATED;0
359;1;1;18;4; direct;6;4;0.6666666666666666; COMPLETED;1
