;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
357;1;1;18;2; widening;6;5;0.8333333333333334;3.693
358;1;1;18;3; widening;6;2;0.3333333333333333;8.313
359;1;1;18;4; widening;6;4;0.6666666666666666;4.58
360;1;2;1;0; densening;18;1;0.05555555555555555;242.304
361;1;2;1;1; densening;18;17;0.9444444444444444;4.253
362;1;2;1;2; densening;18;5;0.2777777777777778;3.604
363;1;2;1;3; densening;18;14;0.7777777777777778;16.169
364;1;2;1;4; densening;18;9;0.5;15.093
365;1;2;2;0; densening;15;1;0.06666666666666667;6.169
366;1;2;2;1; densening;15;14;0.9333333333333333;2.747
367;1;2;2;2; densening;15;8;0.5333333333333333;6.559
368;1;2;2;3; densening;15;11;0.7333333333333333;3.725
369;1;2;2;4; densening;15;4;0.26666666666666666;9.207
370;1;2;3;0; densening;15;4;0.26666666666666666;10.152
371;1;2;3;1; densening;15;8;0.5333333333333333;11.589
372;1;2;3;2; densening;15;11;0.7333333333333333;11.739
373;1;2;3;3; densening;15;14;0.9333333333333333;12.611
374;1;2;3;4; densening;15;1;0.06666666666666667;11.902
375;1;2;4;0; densening;18;17;0.9444444444444444;15.418
376;1;2;4;1; densening;18;14;0.7777777777777778;9.906
377;1;2;4;2; densening;18;9;0.5;9.284
378;1;2;4;3; densening;18;5;0.2777777777777778;5.48
379;1;2;4;4; densening;18;1;0.05555555555555555;4.33
380;1;2;5;0; densening;6;3;0.5;8.556
381;1;2;5;1; densening;6;4;0.6666666666666666;12.125
382;1;2;5;2; densening;6;5;0.8333333333333334;7.344
383;1;2;5;3; densening;6;1;0.16666666666666666;9.467
384;1;2;5;4; densening;6;2;0.3333333333333333;5.328
385;1;2;6;0; densening;12;3;0.25;8.824
386;1;2;6;1; densening;12;6;0.5;4.289
387;1;2;6;2; densening;12;11;0.9166666666666666;6.032
388;1;2;6;3; densening;12;1;0.08333333333333333;6.781
389;1;2;6;4; densening;12;9;0.75;4.261
390;1;2;7;0; densening;6;5;0.8333333333333334;11.884
391;1;2;7;1; densening;6;2;0.3333333333333333;6.465
392;1;2;7;2; densening;6;3;0.5;5.132
393;1;2;7;3; densening;6;4;0.6666666666666666;7.744
394;1;2;7;4; densening;6;1;0.16666666666666666;7.74
395;1;2;8;0; densening;18;14;0.7777777777777778;17.602
396;1;2;8;1; densening;18;17;0.9444444444444444;12.662
397;1;2;8;2; densening;18;9;0.5;9.072
398;1;2;8;3; densening;18;5;0.2777777777777778;7.0
399;1;2;8;4; densening;18;1;0.05555555555555555;3.982
400;1;2;9;0; densening;15;11;0.7333333333333333;17.049
401;1;2;9;1; densening;15;1;0.06666666666666667;5.371
402;1;2;9;2; densening;15;4;0.26666666666666666;3.827
403;1;2;9;3; densening;15;14;0.9333333333333333;9.841
404;1;2;9;4; densening;15;8;0.5333333333333333;9.562
405;1;2;10;0; densening;21;11;0.5238095238095238;11.518
406;1;2;10;1; densening;21;20;0.9523809523809523;17.003
407;1;2;10;2; densening;21;16;0.7619047619047619;9.712
408;1;2;10;3; densening;21;1;0.047619047619047616;8.915
409;1;2;10;4; densening;21;5;0.23809523809523808;3.885
410;1;2;11;0; densening;9;8;0.8888888888888888;9.514
411;1;2;11;1; densening;9;1;0.1111111111111111;7.544
412;1;2;11;2; densening;9;2;0.2222222222222222;6.042
413;1;2;11;3; densening;9;5;0.5555555555555556;8.373
414;1;2;11;4; densening;9;7;0.7777777777777778;5.396
