;Proband;NumLayers;Completed_Abs;Completed_Rel;Failed_Abs;Failed_Rel;Terminated_Abs;Terminated_Rel;Sum;Sum_Rel
119;20;21;32;0.7111111111111111;0;0.0;13;0.28888888888888886;45;1.0
120;22;6;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
121;22;9;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
122;22;12;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
123;22;15;36;0.8;0;0.0;9;0.2;45;1.0
124;22;18;34;0.7555555555555555;0;0.0;11;0.24444444444444444;45;1.0
125;22;21;35;0.7777777777777778;0;0.0;10;0.2222222222222222;45;1.0
126;23;6;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
127;23;9;41;0.9111111111111111;0;0.0;4;0.08888888888888889;45;1.0
128;23;12;38;0.8444444444444444;0;0.0;7;0.15555555555555556;45;1.0
129;23;15;40;0.8888888888888888;0;0.0;5;0.1111111111111111;45;1.0
130;23;18;36;0.8;0;0.0;9;0.2;45;1.0
131;23;21;37;0.8222222222222222;0;0.0;8;0.17777777777777778;45;1.0
132;24;6;34;0.7555555555555555;1;0.022222222222222223;10;0.2222222222222222;45;1.0
133;24;9;31;0.6888888888888889;4;0.08888888888888889;10;0.2222222222222222;45;1.0
134;24;12;30;0.6666666666666666;2;0.044444444444444446;13;0.28888888888888886;45;0.9999999999999999
135;24;15;27;0.6;4;0.08888888888888889;14;0.3111111111111111;45;1.0
136;24;18;27;0.6;7;0.15555555555555556;11;0.24444444444444444;45;1.0
137;24;21;30;0.6666666666666666;5;0.1111111111111111;10;0.2222222222222222;45;0.9999999999999999
